Month Year,LGA Region,Approved Sites,Operational Sites,Approved EGMs,Operational EGMs,Metered Win,Machine %,Win/machine,,,,,
Mar-15,MORETON BAY,64,63,3382,3175,14814162.93,93.87936132,4665.878088,,,,,
Jul-10,MORETON BAY,68,64,3185,2947,13748093.57,92.52747253,4665.114886,,,,,
Jun-08,TOWNSVILLE,50,45,1635,1483,6217513.15,90.70336391,4192.524039,,,,,
Mar-18,CAIRNS,41,40,1943,1790,8345132.53,92.125579,4662.085212,,,,,
Nov-15,GLADSTONE,25,24,659,595,2773493.45,90.28831563,4661.333529,,,,,
Oct-15,LIVINGSTONE,13,11,302,283,1318852.05,93.70860927,4660.254594,,,,,
Mar-18,MOUNT ISA,6,6,443,433,2017036.13,97.74266366,4658.282055,,,,,
Jul-05,MORETON BAY,65,62,2875,2640,12292864.21,91.82608696,4656.387958,,,,,
Feb-08,BRISBANE,232,226,9238,8886,31301337.97,96.18965144,3522.545349,,,,,
Jul-04,MORETON BAY,63,63,2610,2564,11937794.39,98.23754789,4655.926049,,,,,
Mar-18,WHITSUNDAY,18,16,519,416,1936589.23,80.15414258,4655.262572,,,,,
Dec-08,MORETON BAY,67,64,3192,2981,13871614.41,93.38972431,4653.34264,,,,,
Oct-11,MOUNT ISA,8,6,477,415,1930136.95,87.00209644,4650.93241,,,,,
May-18,MOUNT ISA,6,6,443,434,2018373.27,97.96839729,4650.629654,,,,,
Feb-07,GOLD COAST,137,132,5613,5379,17826597.6,95.83110636,3314.109983,,,,,
May-14,MORETON BAY,65,63,3277,3128,14536159.87,95.45315838,4647.109933,,,,,
Mar-08,BRISBANE,232,226,9223,8871,32217466.25,96.18345441,3631.773898,,,,,
Oct-15,ROCKHAMPTON,39,34,1102,983,4565080.64,89.20145191,4644.029135,,,,,
Jul-17,MAREEBA,6,6,215,195,905151.5,90.69767442,4641.802564,,,,,
Jul-18,LIVINGSTONE,12,11,297,287,1332160.25,96.63299663,4641.673345,,,,,
Jul-14,MARANOA,9,9,141,140,649717.56,99.29078014,4640.839714,,,,,
Jun-17,MOUNT ISA,6,6,443,438,2032491.12,98.87133183,4640.390685,,,,,
May-15,IPSWICH,39,37,1581,1493,6926449.99,94.43390259,4639.283315,,,,,
Aug-18,LOCKYER VALLEY,14,14,221,212,982993.66,95.92760181,4636.762547,,,,,
Apr-15,MORETON BAY,64,63,3356,3235,14994771.08,96.39451728,4635.168804,,,,,
